title,author,isbn_13,format_code,location_code,notes,cover_url
4:50 from Paddington,Agatha Christie,9788411090827.0,PB,F1-B09-S05,,"https://m.media-amazon.com/images/I/61JU1bK2zJL._AC_UF894,1000_QL80_.jpg"
4:50 from Paddington,Agatha Christie,9788411090827.0,ACD,F0-B20-S05,Audiobook (CD),"https://m.media-amazon.com/images/I/61JU1bK2zJL._AC_UF894,1000_QL80_.jpg"
4:50 from Paddington,Agatha Christie,9788411090827.0,PB,F1-B09-S05,,"https://m.media-amazon.com/images/I/61JU1bK2zJL._AC_UF894,1000_QL80_.jpg"
4:50 from Paddington,Agatha Christie,9788411090827.0,ACD,F0-B20-S05,Audiobook (CD),"https://m.media-amazon.com/images/I/61JU1bK2zJL._AC_UF894,1000_QL80_.jpg"
4th of July,James Patterson,9781600241031.0,PB,F2-B20-S10,Staff pick,"https://m.media-amazon.com/images/I/71--C69vgVL._AC_UF894,1000_QL80_.jpg"
4th of July,James Patterson,9781600241031.0,PB,F2-B20-S10,Staff pick,"https://m.media-amazon.com/images/I/71--C69vgVL._AC_UF894,1000_QL80_.jpg"
4th of July,James Patterson,9781600241031.0,PB,F2-B20-S10,Staff pick,"https://m.media-amazon.com/images/I/71--C69vgVL._AC_UF894,1000_QL80_.jpg"
4th of July,James Patterson,9781600241031.0,PB,F2-B20-S10,Staff pick,"https://m.media-amazon.com/images/I/71--C69vgVL._AC_UF894,1000_QL80_.jpg"
4th of July,James Patterson,9781600241031.0,PB,F2-B20-S10,Staff pick,"https://m.media-amazon.com/images/I/71--C69vgVL._AC_UF894,1000_QL80_.jpg"
7th Heaven,James Patterson,9781600240775.0,PB,F1-B25-S05,,https://m.media-amazon.com/images/I/91o6m6b69xL.jpg
7th Heaven,James Patterson,9781600240775.0,PB,F1-B25-S05,,https://m.media-amazon.com/images/I/91o6m6b69xL.jpg
7th Heaven,James Patterson,9781600240775.0,PB,F1-B25-S05,,https://m.media-amazon.com/images/I/91o6m6b69xL.jpg
7th Heaven,James Patterson,9781600240775.0,LP,F1-B21-S06,Large print edition,https://m.media-amazon.com/images/I/91o6m6b69xL.jpg
7th Heaven,James Patterson,9781600240775.0,ADIG,,Audiobook (digital),https://m.media-amazon.com/images/I/91o6m6b69xL.jpg
A Caribbean Mystery,Agatha Christie,9780671756116.0,PB,F1-B02-S03,,"https://m.media-amazon.com/images/I/71YVFLoC5vL._AC_UF894,1000_QL80_.jpg"
A Caribbean Mystery,Agatha Christie,9780671756116.0,LP,F1-B05-S10,Large print edition,"https://m.media-amazon.com/images/I/71YVFLoC5vL._AC_UF894,1000_QL80_.jpg"
A Caribbean Mystery,Agatha Christie,9780671756116.0,LP,F1-B05-S10,Large print edition,"https://m.media-amazon.com/images/I/71YVFLoC5vL._AC_UF894,1000_QL80_.jpg"
A Caribbean Mystery,Agatha Christie,9780671756116.0,ACD,F0-B10-S09,Audiobook (CD),"https://m.media-amazon.com/images/I/71YVFLoC5vL._AC_UF894,1000_QL80_.jpg"
A Case of Need,Michael Crichton,9780451039248.0,PB,F2-B12-S08,https://m.media-amazon.com/images/I/717cDkTYuWL._AC_UF894,1000_QL80_.jpg
A Case of Need,Michael Crichton,9780451039248.0,PB,F2-B12-S08,https://m.media-amazon.com/images/I/717cDkTYuWL._AC_UF894,1000_QL80_.jpg
